127.0.0.1 - - [11/Jun/2021:23:18:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:10 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1654
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:10 +0900] "GET /minesweeper/css/style.css?ver=1.1 HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:12 +0900] "GET /minesweeper/ HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:15 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:15 +0900] "GET /minesweeper/css/style.css?ver=1.3 HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:19 +0900] "GET /minesweeper/index.html HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:20 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:22 +0900] "GET /minesweeper/game.jsp?level=2 HTTP/1.1" 200 4062
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:22 +0900] "GET /minesweeper/css/style.css?ver=1.2 HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:22 +0900] "GET /minesweeper/js/game.js HTTP/1.1" 200 4502
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:24 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:25 +0900] "GET /minesweeper/game.jsp?level=2 HTTP/1.1" 200 4056
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:26 +0900] "GET /minesweeper/game.jsp?level=3 HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:28 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:41 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:18:54 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:19:01 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:19:09 +0900] "GET /minesweeper/index.html HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:19:09 +0900] "GET /minesweeper/css/style.css?ver=1.1 HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:19:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:19:10 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2278
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:19:10 +0900] "GET /minesweeper/css/style.css?ver=1.2 HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:19:10 +0900] "GET /minesweeper/js/game.js HTTP/1.1" 200 4502
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:19:23 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:19:27 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:19:28 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:19:31 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:20:25 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:20:30 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:20:30 +0900] "GET /minesweeper/css/style.css?ver=1.3 HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:24:56 +0900] "GET /minesweeper/index.html HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:24:57 +0900] "GET /minesweeper/index.html HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:24:57 +0900] "GET /minesweeper/index.html HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:25:02 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 500 2845
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:25:56 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:35:00 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:36:21 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:36:22 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:36:51 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:38:34 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:38:34 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:38:36 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:38:47 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:38:48 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:38:48 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:38:49 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:38:49 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:38:52 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:39:19 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:39:19 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:39:50 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:39:51 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:04 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:04 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:04 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:12 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:12 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:13 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:13 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:22 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:22 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:22 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:32 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:32 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:32 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:32 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:33 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:33 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:33 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:34 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:34 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:42 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:40:42 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:41:05 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:41:05 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:41:05 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:41:05 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:41:29 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:41:29 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:41:40 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:41:40 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:41:41 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
